
1,Processador,4553.14,27
2,Mouse Gamer,3356.6,9
3,Drone,4752.5,42
4,Placa de Vídeo,1256.97,27
5,Sofá,2379.75,13
6,Air Fryer,1139.33,38
7,Bicicleta,4650.17,51
8,Colchão,192.18,8
9,Bola Futebol,847.07,16
10,Caixa de Som,2196.73,59
11,Smartwatch,2364.97,13
12,Cama Box,435.54,32
13,Liquidificador,3237.16,56
14,Jaqueta Jeans,4316.68,93
15,Controle Gamer,2086.69,58
16,Perfume Feminino,1466.6,71
17,Caixa de Som,1593.57,55
18,Monitor LED,4241.71,78
19,Sofá,4006.5,29
20,Óculos de Sol,3977.55,40
21,Mochila Escolar,3163.15,37
22,Console de Jogos,1148.69,17
23,Óculos de Sol,355.96,64
24,Tablet,1404.41,99
25,Bola Futebol,3392.91,78
26,Patinete Elétrico,3610.56,85
27,Tablet,311.93,73
28,Perfume Masculino,4417.31,86
29,Ventilador,4436.47,53
30,Placa de Vídeo,317.69,69
31,HD Externo,3502.93,57
32,Bicicleta,4768.34,52
33,Tênis Corrida,2398.13,14
34,Caixa de Som,2539.9,77
35,SSD,593.86,44
36,Air Fryer,670.42,44
37,Jaqueta Jeans,4345.11,73
38,Patinete Elétrico,4274.0,95
39,Geladeira,3572.28,50
40,Óculos de Sol,3058.59,23
41,Monitor LED,1208.17,55
42,Jaqueta Jeans,3621.27,77
43,Ar Condicionado,1247.1,89
44,Bola Futebol,4661.36,19
45,Processador,3598.46,60
46,Liquidificador,2759.85,96
47,Óculos de Sol,2351.05,43
48,Caixa de Som,387.04,77
49,Processador,285.82,45
50,Cafeteira,3590.7,36
51,Relógio Digital,2595.79,17
52,Guarda-Roupa,4703.35,94
53,Fogão,4269.31,5
54,Ventilador,3577.02,53
55,Colchão,306.93,75
56,Liquidificador,218.77,33
57,Cadeira Gamer,2798.48,91
58,Bola Futebol,2241.23,51
59,Óculos de Sol,3174.97,3
60,Câmera Fotográfica,98.46,79
61,Guarda-Roupa,4340.75,89
62,Tablet,2159.86,62
63,Ar Condicionado,2832.11,94
64,Teclado Mecânico,3726.69,87
65,Cafeteira,3605.21,39
66,Relógio Digital,2578.43,39
67,Camisa Esportiva,4029.91,42
68,Óculos de Sol,521.69,71
69,Console de Jogos,1937.47,61
70,Tênis Corrida,4709.5,61
71,Teclado Mecânico,3112.69,39
72,Camisa Esportiva,1339.11,99
73,Cadeira Gamer,1540.96,55
74,Guarda-Roupa,747.88,6
75,Console de Jogos,510.89,52
76,Ventilador,633.65,56
77,Ar Condicionado,2542.98,37
78,Liquidificador,4350.48,92
79,Jaqueta Jeans,4650.8,55
80,Tênis Corrida,4591.3,7
81,Console de Jogos,2512.03,17
82,Monitor LED,2386.5,60
83,Monitor LED,4386.96,48
84,Relógio Digital,1837.53,34
85,HD Externo,3986.79,17
86,Óculos de Sol,1530.95,32
87,Jaqueta Jeans,3236.08,11
88,Ar Condicionado,79.25,47
89,Processador,1017.04,11
90,Bicicleta,4345.47,41
91,Mouse Gamer,4837.54,26
92,Jaqueta Jeans,4756.06,86
93,Geladeira,1681.01,24
94,Perfume Masculino,4972.82,32
95,Panela Elétrica,4540.45,85
96,Jaqueta Jeans,663.19,76
97,Cama Box,539.76,12
98,Sofá,972.29,25
99,Fone Bluetooth,31.9,61
100,Memória RAM,232.2,38
101,Cama Box,4415.44,36
102,Fogão,4153.64,91
103,Bola Futebol,4828.9,4
104,Perfume Masculino,1758.79,6
105,Ventilador,2736.24,43
106,Micro-ondas,4327.99,74
107,SSD,78.0,69
108,Camisa Esportiva,3403.07,53
109,Mouse Gamer,46.43,5
110,Fone Bluetooth,2270.88,81
111,Cadeira Gamer,798.56,35
112,Guarda-Roupa,3098.86,35
113,Monitor LED,2302.84,97
114,Cama Box,2621.21,100
115,Livro Romance,2566.49,69
116,Caixa de Som,3993.85,58
117,Micro-ondas,2528.29,94
118,Tablet,2814.97,13
119,Console de Jogos,2474.68,75
120,Tablet,2250.24,48
121,Mochila Escolar,2695.31,41
122,Controle Gamer,4937.02,85
123,Perfume Masculino,4493.29,31
124,Sofá,317.64,43
125,Patinete Elétrico,3045.93,72
126,Geladeira,517.53,30
127,Cadeira Escritório,4652.4,33
128,SSD,2943.87,51
129,Ar Condicionado,3039.25,50
130,Cadeira Gamer,107.69,8
131,Tênis Corrida,1372.05,63
132,Mochila Escolar,2482.26,80
133,Tênis Corrida,3852.47,30
134,Colchão,4477.57,42
135,Patinete Elétrico,2670.75,47
136,Colchão,3126.5,15
137,Patinete Elétrico,635.89,92
138,Mochila Escolar,2188.87,49
139,Controle Gamer,2210.89,68
140,Ventilador,2572.13,71
141,Mouse Gamer,593.15,52
142,Smartwatch,2908.17,65
143,Micro-ondas,3443.1,95
144,Cama Box,4119.03,92
145,Patinete Elétrico,1052.32,11
146,Cadeira Escritório,721.23,65
147,Processador,909.25,9
148,Mesa de Jantar,1537.57,43
149,Tênis Corrida,2947.25,79
150,Console de Jogos,4476.5,90
151,Bicicleta,3336.33,19
152,Tênis Corrida,3355.57,5
153,Câmera Fotográfica,2787.1,80
154,Ar Condicionado,3319.7,51
155,Panela Elétrica,4312.43,36
156,Smartphone,4743.06,38
157,Perfume Masculino,1045.48,67
158,Colchão,2911.76,15
159,Console de Jogos,3115.62,80
160,Óculos de Sol,68.79,19
161,Guarda-Roupa,99.26,44
162,Tablet,1879.16,11
163,Geladeira,3963.95,20
